Title,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Stranger To Love,Charles Perry ,4mCJQrWz1If2pr79PXRtKX,0.696,0.482,5,-10.008,0,0.31,0.128,0.0,0.275,0.536,100.023,audio_features,spotify:track:4mCJQrWz1If2pr79PXRtKX,https://api.spotify.com/v1/tracks/4mCJQrWz1If2pr79PXRtKX,https://api.spotify.com/v1/audio-analysis/4mCJQrWz1If2pr79PXRtKX,162750,4,0,6
Smack DVD,SAINt JHN ,0PrbJfU9aZp0kb1WNDL2EW,0.86,0.488,9,-6.431,1,0.461,0.0719,0.0,0.159,0.274,78.559,audio_features,spotify:track:0PrbJfU9aZp0kb1WNDL2EW,https://api.spotify.com/v1/tracks/0PrbJfU9aZp0kb1WNDL2EW,https://api.spotify.com/v1/audio-analysis/0PrbJfU9aZp0kb1WNDL2EW,175110,4,0,0
dRuNk,ZAYN ,0TC3wZupelwzKhuueGSGZu,0.643,0.597,8,-8.451,1,0.12,0.509,9.9e-06,0.107,0.375,119.827,audio_features,spotify:track:0TC3wZupelwzKhuueGSGZu,https://api.spotify.com/v1/tracks/0TC3wZupelwzKhuueGSGZu,https://api.spotify.com/v1/audio-analysis/0TC3wZupelwzKhuueGSGZu,205787,4,0,4
Legends,Juice WRLD ,1Knctxx9vGZxpZfF66BIEa,0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049,audio_features,spotify:track:1Knctxx9vGZxpZfF66BIEa,https://api.spotify.com/v1/tracks/1Knctxx9vGZxpZfF66BIEa,https://api.spotify.com/v1/audio-analysis/1Knctxx9vGZxpZfF66BIEa,191840,4,0,1
SHE DON'T LOVE ME,ZAYN ,4MaOXwqSgiwgngbeYePmu8,0.677,0.396,1,-8.229,0,0.0278,0.117,0.0,0.0888,0.242,102.028,audio_features,spotify:track:4MaOXwqSgiwgngbeYePmu8,https://api.spotify.com/v1/tracks/4MaOXwqSgiwgngbeYePmu8,https://api.spotify.com/v1/audio-analysis/4MaOXwqSgiwgngbeYePmu8,255040,4,0,6
F**kin' Problems,A$AP Rocky ,4X5f3vT8MRuXF68pfjNte5,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,audio_features,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787,4,0,6
Cloud 9,Beach Bunny ,6vFsBXYczYsP0H3lgunZOm,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,audio_features,spotify:track:6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/tracks/6vFsBXYczYsP0H3lgunZOm,https://api.spotify.com/v1/audio-analysis/6vFsBXYczYsP0H3lgunZOm,147351,4,0,0
Never Had The Balls,Rex Orange County ,5h68UTytwmTJDwoGbqLwzV,0.696,0.677,5,-7.812,1,0.0369,0.383,0.000273,0.0508,0.351,150.034,audio_features,spotify:track:5h68UTytwmTJDwoGbqLwzV,https://api.spotify.com/v1/tracks/5h68UTytwmTJDwoGbqLwzV,https://api.spotify.com/v1/audio-analysis/5h68UTytwmTJDwoGbqLwzV,236893,4,0,5
MacLeod  complex (demo),Katie Gregson,1ovZe7upcqycTuPFfOg6kB,0.384,0.167,0,-9.92,1,0.0375,0.924,0.0,0.118,0.258,95.102,audio_features,spotify:track:1ovZe7upcqycTuPFfOg6kB,https://api.spotify.com/v1/tracks/1ovZe7upcqycTuPFfOg6kB,https://api.spotify.com/v1/audio-analysis/1ovZe7upcqycTuPFfOg6kB,256108,4,0,6
Sanguine Paradise,Lil Uzi Vert ,3XiNC94b4Tq1xwv70sQJGN,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,audio_features,spotify:track:3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN,243976,4,0,1
